"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FAM240C",5.45853496023117,-1.12952815677663,0.265813838003373,1.7772615932965e-06,1.2089099077523e-05
"IGLV3-9",7.45274601279413,-1.0064348631047,0.238982857601795,2.11346532232458e-06,1.40419735960022e-05
"PRX",6.04821770276467,-1.43878101029017,0.347365247755366,2.87367355744702e-06,1.84250154817836e-05
"KLF15",27.2373665550266,1.17564839105949,0.292377096147915,3.06532161241155e-06,1.95398878351584e-05
"SCN2A",128.220098919807,1.00245370599837,0.246750556742492,3.35849304503994e-06,2.10797776812911e-05
"DRD4",7.93893919967355,-1.10538670784841,0.273004378107945,4.02099879457856e-06,2.47704613377356e-05
"GORAB",8.50749381195015,1.39173493496033,0.355622777476518,4.47369633242091e-06,2.72697303185758e-05
"JPH3",32.9173523177141,4.56969412882743,0.475028132610356,4.53834445236743e-06,2.76124463744466e-05
"MMRN1",32.1923943284852,1.24699380721716,0.318826166497451,5.02150695252125e-06,3.01923912561602e-05
"FCER1A",28.9355954611256,1.01079182812346,0.258339621443533,5.85626184014101e-06,3.45817578279197e-05
"RPL39",210.731288537728,1.20245109619759,0.309604839863457,5.85795338223678e-06,3.45817578279197e-05
"ARHGAP27P2",9.35916885258604,-1.00735101572701,0.254358288589906,6.39806556446139e-06,3.74408667365493e-05
"IGHG2",103.03187237189,-1.23171880064114,0.317754871078258,6.39987958484589e-06,3.74408667365493e-05
"IGHA2",145.970706657962,-1.61780280534299,0.423020778233912,6.52265295009382e-06,3.80501394861042e-05
"PKD1P4",97.9165366041415,-1.08628787995111,0.281590182765183,7.28814382535092e-06,4.20693905590906e-05
"RPL17-C18orf32",5.50863128153003,2.61187186773256,0.706519803383104,7.36216195678927e-06,4.24281304547251e-05
"MMP23B",10.2967941319879,-1.19937222858577,0.313712184453474,9.26489726984141e-06,5.22974738113669e-05
"GMPR",16.6681487907288,-2.11050597765044,0.57328545313204,9.57978186031273e-06,5.37987906672236e-05
"RPS27",461.880751057193,1.06909388759345,0.281881866570853,1.00728832092996e-05,5.63466682811292e-05
"ITPRIPL2",7.64858762629695,-1.73011141454845,0.466999683924511,1.10796630852e-05,6.13781568354086e-05
"BOK",16.8857226565882,-1.07898232332538,0.286532472260848,1.13004044502147e-05,6.24316780638215e-05
"MTND4P14",20.5971866767908,1.00005803457645,0.264439497216669,1.13863485595817e-05,6.2857919577181e-05
"BRICD5",7.58773180279561,-1.05722909997506,0.28572096218306,1.33666115402656e-05,7.2639989282675e-05
"CSPG4P11",7.65995366283947,-1.04224984822289,0.288179096435638,1.69713778108402e-05,8.96404728257824e-05
"MTND2P28",64.7584613090267,1.47681061579718,0.419210471654448,1.85876086166865e-05,9.70301672148172e-05
"TMEM121B",34.6429872043531,1.0032784034225,0.27909938455434,1.86842093631434e-05,9.74988414139505e-05
"PHC1P1",20.2681736945087,-1.1445755381492,0.331089141760351,3.37119353433206e-05,0.000164229387236388
"SNTB2",8.5400216031279,-1.12222434744462,0.331455619018284,3.73011185491513e-05,0.000179364752520313
"CLCN3",35.4289709161375,1.01511349630656,0.295066709828378,3.78082032299491e-05,0.000181099393561746
"SLC34A3",6.99135710729104,-1.131517221892,0.326345665971657,3.81660695456619e-05,0.000182630007484563
"IFI27",30.0004795875188,-1.27603270698316,0.378552568041376,4.07994990609594e-05,0.000193740032405712
"PCDH1",17.1601521937089,-1.02210755143161,0.303882670665694,4.73547104945376e-05,0.000221267206095065
"SHOC1",166.183414697285,1.016419804172,0.320400551766874,9.6369544775701e-05,0.000415403000061192
"CFD",210.725134450416,-1.04788531940236,0.337414221035504,0.000115542437205858,0.000488043062679277
"KCNJ13",6.01557891055287,-1.05819335549712,0.35364215823488,0.000146701546109969,0.000603087609626321
"MS4A3",8.17775837336384,1.34873768076829,0.464010750795568,0.000148492814921286,0.000609575155826745
"HMGB1P5",7.57201749475477,1.82682551180616,0.663384866607142,0.000207336849427801,0.000820752406333371
"ROCK1P1",6.81626961982504,-1.49627709863248,0.541323720913519,0.000245823267800294,0.000954844086663571
"MTND1P23",35.5697980704839,1.07558515335241,0.408226911462211,0.000381718936514349,0.00140389196852657
"ZFP91-CNTF",15.8204870388387,-1.08922921525347,0.411026079438165,0.000457754247758295,0.00164653339231399
"TRIM74",5.74545613686451,-1.38101994138652,0.572629854226721,0.000688341826744712,0.00234890487799425
"FBXL15",5.73391790470029,-1.09647532192971,0.443838717173087,0.000708030766664865,0.00240804564742489
"GUSBP5",5.58681978700879,-1.10897595866325,0.459952586431119,0.000974868171960571,0.0031903559447682
"WRN",6.13594018350976,1.12130161555156,0.509675511205757,0.00114648252348889,0.00367379805880781
"LY6E",421.325769432163,-1.07555027131424,0.228381273689323,0.00118376841660329,0.00377178468723998
"HBM",30.8308103921436,-1.62020077430486,0.80048092983891,0.00127884325362217,0.00404086206415244
"RNA5-8SP6",88.0452859691638,1.35389962824155,0.660949853231338,0.0013043000112344,0.00411311900322662
"MAFIP",5.69942310223498,-1.4391288309646,0.755076760956383,0.00203088261712015,0.00601814707970652
"RGPD1",7.98703413979483,1.4499342077435,0.884093742279161,0.00255684355243648,0.00734976861936806
"HBB",422.186060335029,1.01722063178421,0.622042979541177,0.00357205605577813,0.00983123339470946
"RAB4B-EGLN2",7.44791492204171,-1.07666107567551,0.788159544031057,0.00476267447095787,0.0126128393379803
"MUC12",6.82247835454739,-1.26687981721068,1.03739762214904,0.00554296648700986,0.0143600896595881
"HBQ1",22.9040191994285,-1.9795180626797,0.461693914794271,0.00572717393565256,0.0147517803876707
"PDIA6",14.4457576768086,1.89406050606709,0.707488464641297,0.00649863392634259,0.0164747283473132
